Nacionalidad;Pais_de_nacimiento;Periodo;Total
Lituania;Extranjero;2021S1;443
Lituania;Extranjero;2020S2;461
Lituania;Extranjero;2020S1;317
Lituania;Extranjero;2019S2;688
Lituania;Extranjero;2019S1;550
Lituania;Extranjero;2018S2;766
Lituania;Extranjero;2018S1;533
Lituania;Extranjero;2017S2;781
Lituania;Extranjero;2017S1;524
Lituania;Extranjero;2016S2;563
Lituania;Extranjero;2016S1;437
Lituania;Extranjero;2015S2;435
Lituania;Extranjero;2015S1;362
Lituania;Extranjero;2014S2;359
Lituania;Extranjero;2014S1;348
Lituania;Extranjero;2013S2;437
Lituania;Extranjero;2013S1;331
Lituania;Extranjero;2012S2;429
Lituania;Extranjero;2012S1;416
Lituania;Extranjero;2011S2;637
Lituania;Extranjero;2011S1;435
Lituania;Extranjero;2010S2;767
Lituania;Extranjero;2010S1;520
Lituania;Extranjero;2009S2;685
Lituania;Extranjero;2009S1;463
Lituania;Extranjero;2008S2;586
Lituania;Extranjero;2008S1;514
Otro país de la Unión Europea sin España;Total;2022S1;3437
Otro país de la Unión Europea sin España;Total;2021S2;3359
Otro país de la Unión Europea sin España;Total;2021S1;2508
Otro país de la Unión Europea sin España;Total;2020S2;2462
Otro país de la Unión Europea sin España;Total;2020S1;1777
Otro país de la Unión Europea sin España;Total;2019S2;3252
Otro país de la Unión Europea sin España;Total;2019S1;2670
Otro país de la Unión Europea sin España;Total;2018S2;3087
Otro país de la Unión Europea sin España;Total;2018S1;2693
Otro país de la Unión Europea sin España;Total;2017S2;3032
Otro país de la Unión Europea sin España;Total;2017S1;2462
Otro país de la Unión Europea sin España;Total;2016S2;2459
Otro país de la Unión Europea sin España;Total;2016S1;2090
Otro país de la Unión Europea sin España;Total;2015S2;2367
Otro país de la Unión Europea sin España;Total;2015S1;1961
Otro país de la Unión Europea sin España;Total;2014S2;2207
Otro país de la Unión Europea sin España;Total;2014S1;1872
Otro país de la Unión Europea sin España;Total;2013S2;2326
Otro país de la Unión Europea sin España;Total;2013S1;1896
Otro país de la Unión Europea sin España;Total;2012S2;2109
Otro país de la Unión Europea sin España;Total;2012S1;2137
Otro país de la Unión Europea sin España;Total;2011S2;2386
Otro país de la Unión Europea sin España;Total;2011S1;2020
Otro país de la Unión Europea sin España;Total;2010S2;2103
Otro país de la Unión Europea sin España;Total;2010S1;1857
Otro país de la Unión Europea sin España;Total;2009S2;2173
Otro país de la Unión Europea sin España;Total;2009S1;1871
Otro país de la Unión Europea sin España;Total;2008S2;2443
Otro país de la Unión Europea sin España;Total;2008S1;2377
Otro país de la Unión Europea sin España;España;2022S1;17
Otro país de la Unión Europea sin España;España;2021S2;7
Otro país de la Unión Europea sin España;España;2021S1;21
Otro país de la Unión Europea sin España;España;2020S2;10
Otro país de la Unión Europea sin España;España;2020S1;4
Otro país de la Unión Europea sin España;España;2019S2;19
Otro país de la Unión Europea sin España;España;2019S1;17
Otro país de la Unión Europea sin España;España;2018S2;19
Otro país de la Unión Europea sin España;España;2018S1;8
Otro país de la Unión Europea sin España;España;2017S2;23
Otro país de la Unión Europea sin España;España;2017S1;15
Otro país de la Unión Europea sin España;España;2016S2;29
Otro país de la Unión Europea sin España;España;2016S1;28
Otro país de la Unión Europea sin España;España;2015S2;24
Otro país de la Unión Europea sin España;España;2015S1;19
Otro país de la Unión Europea sin España;España;2014S2;24
Otro país de la Unión Europea sin España;España;2014S1;23
Otro país de la Unión Europea sin España;España;2013S2;30
Otro país de la Unión Europea sin España;España;2013S1;18
Otro país de la Unión Europea sin España;España;2012S2;20
Otro país de la Unión Europea sin España;España;2012S1;17
Otro país de la Unión Europea sin España;España;2011S2;9
Otro país de la Unión Europea sin España;España;2011S1;10
Otro país de la Unión Europea sin España;España;2010S2;13
Otro país de la Unión Europea sin España;España;2010S1;15
Otro país de la Unión Europea sin España;España;2009S2;20
Otro país de la Unión Europea sin España;España;2009S1;18
Otro país de la Unión Europea sin España;España;2008S2;10
Otro país de la Unión Europea sin España;España;2008S1;16
Otro país de la Unión Europea sin España;Extranjero;2022S1;3420
Otro país de la Unión Europea sin España;Extranjero;2021S2;3352
Otro país de la Unión Europea sin España;Extranjero;2021S1;2487
Otro país de la Unión Europea sin España;Extranjero;2020S2;2452
Otro país de la Unión Europea sin España;Extranjero;2020S1;1773
Otro país de la Unión Europea sin España;Extranjero;2019S2;3233
Otro país de la Unión Europea sin España;Extranjero;2019S1;2653
Otro país de la Unión Europea sin España;Extranjero;2018S2;3068
Otro país de la Unión Europea sin España;Extranjero;2018S1;2685
Otro país de la Unión Europea sin España;Extranjero;2017S2;3009
Otro país de la Unión Europea sin España;Extranjero;2017S1;2447
Otro país de la Unión Europea sin España;Extranjero;2016S2;2430
Otro país de la Unión Europea sin España;Extranjero;2016S1;2062
Otro país de la Unión Europea sin España;Extranjero;2015S2;2343
Otro país de la Unión Europea sin España;Extranjero;2015S1;1942
Otro país de la Unión Europea sin España;Extranjero;2014S2;2183
Otro país de la Unión Europea sin España;Extranjero;2014S1;1849
Otro país de la Unión Europea sin España;Extranjero;2013S2;2297
Otro país de la Unión Europea sin España;Extranjero;2013S1;1878
Otro país de la Unión Europea sin España;Extranjero;2012S2;2088
Otro país de la Unión Europea sin España;Extranjero;2012S1;2120
Otro país de la Unión Europea sin España;Extranjero;2011S2;2376
Otro país de la Unión Europea sin España;Extranjero;2011S1;2010
Otro país de la Unión Europea sin España;Extranjero;2010S2;2089
Otro país de la Unión Europea sin España;Extranjero;2010S1;1842
Otro país de la Unión Europea sin España;Extranjero;2009S2;2153
Otro país de la Unión Europea sin España;Extranjero;2009S1;1853
Otro país de la Unión Europea sin España;Extranjero;2008S2;2433
Otro país de la Unión Europea sin España;Extranjero;2008S1;2361
País de Europa menos UE27_2020;Total;2022S1;70451
País de Europa menos UE27_2020;Total;2021S2;24108
País de Europa menos UE27_2020;Total;2021S1;24070
País de Europa menos UE27_2020;Total;2020S2;29866
País de Europa menos UE27_2020;Total;2020S1;15376
País de Europa menos UE27_2020;Total;2019S2;""
País de Europa menos UE27_2020;Total;2019S1;""
País de Europa menos UE27_2020;Total;2018S2;""
País de Europa menos UE27_2020;Total;2018S1;""
País de Europa menos UE27_2020;Total;2017S2;""
País de Europa menos UE27_2020;Total;2017S1;""
País de Europa menos UE27_2020;Total;2016S2;""
País de Europa menos UE27_2020;Total;2016S1;""
País de Europa menos UE27_2020;Total;2015S2;""
País de Europa menos UE27_2020;Total;2015S1;""
País de Europa menos UE27_2020;Total;2014S2;""
País de Europa menos UE27_2020;Total;2014S1;""
País de Europa menos UE27_2020;Total;2013S2;""
País de Europa menos UE27_2020;Total;2013S1;""
País de Europa menos UE27_2020;Total;2012S2;""
País de Europa menos UE27_2020;Total;2012S1;""
País de Europa menos UE27_2020;Total;2011S2;""
País de Europa menos UE27_2020;Total;2011S1;""
País de Europa menos UE27_2020;Total;2010S2;""
País de Europa menos UE27_2020;Total;2010S1;""
País de Europa menos UE27_2020;Total;2009S2;""
País de Europa menos UE27_2020;Total;2009S1;""
País de Europa menos UE27_2020;Total;2008S2;""
País de Europa menos UE27_2020;Total;2008S1;""
País de Europa menos UE27_2020;España;2022S1;232
País de Europa menos UE27_2020;España;2021S2;112
País de Europa menos UE27_2020;España;2021S1;127
País de Europa menos UE27_2020;España;2020S2;143
País de Europa menos UE27_2020;España;2020S1;110
País de Europa menos UE27_2020;España;2019S2;""
País de Europa menos UE27_2020;España;2019S1;""
País de Europa menos UE27_2020;España;2018S2;""
País de Europa menos UE27_2020;España;2018S1;""
País de Europa menos UE27_2020;España;2017S2;""
País de Europa menos UE27_2020;España;2017S1;""
País de Europa menos UE27_2020;España;2016S2;""
País de Europa menos UE27_2020;España;2016S1;""
País de Europa menos UE27_2020;España;2015S2;""
País de Europa menos UE27_2020;España;2015S1;""
País de Europa menos UE27_2020;España;2014S2;""
País de Europa menos UE27_2020;España;2014S1;""
País de Europa menos UE27_2020;España;2013S2;""
País de Europa menos UE27_2020;España;2013S1;""
País de Europa menos UE27_2020;España;2012S2;""
País de Europa menos UE27_2020;España;2012S1;""
País de Europa menos UE27_2020;España;2011S2;""
País de Europa menos UE27_2020;España;2011S1;""
País de Europa menos UE27_2020;España;2010S2;""
País de Europa menos UE27_2020;España;2010S1;""
País de Europa menos UE27_2020;España;2009S2;""
País de Europa menos UE27_2020;España;2009S1;""
País de Europa menos UE27_2020;España;2008S2;""
País de Europa menos UE27_2020;España;2008S1;""
País de Europa menos UE27_2020;Extranjero;2022S1;70219
País de Europa menos UE27_2020;Extranjero;2021S2;23996
País de Europa menos UE27_2020;Extranjero;2021S1;23943
País de Europa menos UE27_2020;Extranjero;2020S2;29723
País de Europa menos UE27_2020;Extranjero;2020S1;15266
País de Europa menos UE27_2020;Extranjero;2019S2;""
País de Europa menos UE27_2020;Extranjero;2019S1;""
País de Europa menos UE27_2020;Extranjero;2018S2;""
País de Europa menos UE27_2020;Extranjero;2018S1;""
País de Europa menos UE27_2020;Extranjero;2017S2;""
País de Europa menos UE27_2020;Extranjero;2017S1;""
País de Europa menos UE27_2020;Extranjero;2016S2;""
País de Europa menos UE27_2020;Extranjero;2016S1;""
País de Europa menos UE27_2020;Extranjero;2015S2;""
País de Europa menos UE27_2020;Extranjero;2015S1;""
País de Europa menos UE27_2020;Extranjero;2014S2;""
País de Europa menos UE27_2020;Extranjero;2014S1;""
País de Europa menos UE27_2020;Extranjero;2013S2;""
País de Europa menos UE27_2020;Extranjero;2013S1;""
País de Europa menos UE27_2020;Extranjero;2012S2;""
País de Europa menos UE27_2020;Extranjero;2012S1;""
País de Europa menos UE27_2020;Extranjero;2011S2;""
País de Europa menos UE27_2020;Extranjero;2011S1;""
País de Europa menos UE27_2020;Extranjero;2010S2;""
País de Europa menos UE27_2020;Extranjero;2010S1;""
País de Europa menos UE27_2020;Extranjero;2009S2;""
País de Europa menos UE27_2020;Extranjero;2009S1;""
País de Europa menos UE27_2020;Extranjero;2008S2;""
País de Europa menos UE27_2020;Extranjero;2008S1;""
Reino Unido;Total;2022S1;5933
Reino Unido;Total;2021S2;9055
Reino Unido;Total;2021S1;16122
Reino Unido;Total;2020S2;21649
Reino Unido;Total;2020S1;7869
Reino Unido;Total;2019S2;13661
Reino Unido;Total;2019S1;15702
Reino Unido;Total;2018S2;13497
Reino Unido;Total;2018S1;10465
Reino Unido;Total;2017S2;10769
Reino Unido;Total;2017S1;10478
Reino Unido;Total;2016S2;9567
Reino Unido;Total;2016S1;8982
Reino Unido;Total;2015S2;7805
Reino Unido;Total;2015S1;7186
Reino Unido;Total;2014S2;7683
Reino Unido;Total;2014S1;6546
Reino Unido;Total;2013S2;7404
Reino Unido;Total;2013S1;6741
Reino Unido;Total;2012S2;8501
Reino Unido;Total;2012S1;7874
Reino Unido;Total;2011S2;7877
Reino Unido;Total;2011S1;7854
Reino Unido;Total;2010S2;7766
Reino Unido;Total;2010S1;8408
Reino Unido;Total;2009S2;8733
Reino Unido;Total;2009S1;9205
Reino Unido;Total;2008S2;11081
Reino Unido;Total;2008S1;12676
Reino Unido;España;2022S1;47
Reino Unido;España;2021S2;45
Reino Unido;España;2021S1;86
Reino Unido;España;2020S2;96
Reino Unido;España;2020S1;71
Reino Unido;España;2019S2;60
Reino Unido;España;2019S1;76
Reino Unido;España;2018S2;59
Reino Unido;España;2018S1;74
Reino Unido;España;2017S2;99
Reino Unido;España;2017S1;108
Reino Unido;España;2016S2;86
Reino Unido;España;2016S1;99
Reino Unido;España;2015S2;75
Reino Unido;España;2015S1;68
Reino Unido;España;2014S2;79
Reino Unido;España;2014S1;69
Reino Unido;España;2013S2;67
Reino Unido;España;2013S1;76
Reino Unido;España;2012S2;87
Reino Unido;España;2012S1;77
Reino Unido;España;2011S2;61
Reino Unido;España;2011S1;81
Reino Unido;España;2010S2;89
Reino Unido;España;2010S1;78
Reino Unido;España;2009S2;68
Reino Unido;España;2009S1;89
Reino Unido;España;2008S2;73
Reino Unido;España;2008S1;103
Reino Unido;Extranjero;2022S1;5886
Reino Unido;Extranjero;2021S2;9010
Reino Unido;Extranjero;2021S1;16036
Reino Unido;Extranjero;2020S2;21553
Reino Unido;Extranjero;2020S1;7798
Reino Unido;Extranjero;2019S2;13601
Reino Unido;Extranjero;2019S1;15626
Reino Unido;Extranjero;2018S2;13438
Reino Unido;Extranjero;2018S1;10391
Reino Unido;Extranjero;2017S2;10670
Reino Unido;Extranjero;2017S1;10370
Reino Unido;Extranjero;2016S2;9481
Reino Unido;Extranjero;2016S1;8883
Reino Unido;Extranjero;2015S2;7730
Reino Unido;Extranjero;2015S1;7118
Reino Unido;Extranjero;2014S2;7604
Reino Unido;Extranjero;2014S1;6477
Reino Unido;Extranjero;2013S2;7336
Reino Unido;Extranjero;2013S1;6665
Reino Unido;Extranjero;2012S2;8414
Reino Unido;Extranjero;2012S1;7796
Reino Unido;Extranjero;2011S2;7816
Reino Unido;Extranjero;2011S1;7773
Reino Unido;Extranjero;2010S2;7677
Reino Unido;Extranjero;2010S1;8330
Reino Unido;Extranjero;2009S2;8665
Reino Unido;Extranjero;2009S1;9116
Reino Unido;Extranjero;2008S2;11008
Reino Unido;Extranjero;2008S1;12573
País de Europa menos UE28;Total;2022S1;""
País de Europa menos UE28;Total;2021S2;""
País de Europa menos UE28;Total;2021S1;""
País de Europa menos UE28;Total;2020S2;""
País de Europa menos UE28;Total;2020S1;""
País de Europa menos UE28;Total;2019S2;15378
País de Europa menos UE28;Total;2019S1;12576
País de Europa menos UE28;Total;2018S2;15166
País de Europa menos UE28;Total;2018S1;11211
País de Europa menos UE28;Total;2017S2;13640
País de Europa menos UE28;Total;2017S1;9745
País de Europa menos UE28;Total;2016S2;11195
País de Europa menos UE28;Total;2016S1;9030
País de Europa menos UE28;Total;2015S2;11904
País de Europa menos UE28;Total;2015S1;10171
País de Europa menos UE28;Total;2014S2;11668
País de Europa menos UE28;Total;2014S1;8064
País de Europa menos UE28;Total;2013S2;9584
País de Europa menos UE28;Total;2013S1;7346
País de Europa menos UE28;Total;2012S2;9071
País de Europa menos UE28;Total;2012S1;7893
País de Europa menos UE28;Total;2011S2;10613
País de Europa menos UE28;Total;2011S1;8412
País de Europa menos UE28;Total;2010S2;9254
País de Europa menos UE28;Total;2010S1;7711
País de Europa menos UE28;Total;2009S2;8558
País de Europa menos UE28;Total;2009S1;7626
País de Europa menos UE28;Total;2008S2;9856
País de Europa menos UE28;Total;2008S1;11576
País de Europa menos UE28;España;2022S1;""
País de Europa menos UE28;España;2021S2;""
País de Europa menos UE28;España;2021S1;""
País de Europa menos UE28;España;2020S2;""
País de Europa menos UE28;España;2020S1;""
País de Europa menos UE28;España;2019S2;66
País de Europa menos UE28;España;2019S1;56
País de Europa menos UE28;España;2018S2;76
País de Europa menos UE28;España;2018S1;58
País de Europa menos UE28;España;2017S2;96
País de Europa menos UE28;España;2017S1;97
País de Europa menos UE28;España;2016S2;105
País de Europa menos UE28;España;2016S1;127
País de Europa menos UE28;España;2015S2;120
País de Europa menos UE28;España;2015S1;139
País de Europa menos UE28;España;2014S2;140
País de Europa menos UE28;España;2014S1;131
País de Europa menos UE28;España;2013S2;127
País de Europa menos UE28;España;2013S1;155
País de Europa menos UE28;España;2012S2;119
País de Europa menos UE28;España;2012S1;125
País de Europa menos UE28;España;2011S2;132
País de Europa menos UE28;España;2011S1;128
País de Europa menos UE28;España;2010S2;144
País de Europa menos UE28;España;2010S1;164
País de Europa menos UE28;España;2009S2;141
País de Europa menos UE28;España;2009S1;171
País de Europa menos UE28;España;2008S2;140
País de Europa menos UE28;España;2008S1;179
País de Europa menos UE28;Extranjero;2022S1;""
País de Europa menos UE28;Extranjero;2021S2;""
País de Europa menos UE28;Extranjero;2021S1;""
País de Europa menos UE28;Extranjero;2020S2;""
País de Europa menos UE28;Extranjero;2020S1;""
País de Europa menos UE28;Extranjero;2019S2;15312
País de Europa menos UE28;Extranjero;2019S1;12520
País de Europa menos UE28;Extranjero;2018S2;15090
País de Europa menos UE28;Extranjero;2018S1;11153
País de Europa menos UE28;Extranjero;2017S2;13544
País de Europa menos UE28;Extranjero;2017S1;9648
País de Europa menos UE28;Extranjero;2016S2;11090
País de Europa menos UE28;Extranjero;2016S1;8903
País de Europa menos UE28;Extranjero;2015S2;11784
País de Europa menos UE28;Extranjero;2015S1;10033
País de Europa menos UE28;Extranjero;2014S2;11527
País de Europa menos UE28;Extranjero;2014S1;7933
País de Europa menos UE28;Extranjero;2013S2;9457
País de Europa menos UE28;Extranjero;2013S1;7191
País de Europa menos UE28;Extranjero;2012S2;8952
País de Europa menos UE28;Extranjero;2012S1;7767
País de Europa menos UE28;Extranjero;2011S2;10481
País de Europa menos UE28;Extranjero;2011S1;8285
País de Europa menos UE28;Extranjero;2010S2;9110
País de Europa menos UE28;Extranjero;2010S1;7547
País de Europa menos UE28;Extranjero;2009S2;8417
País de Europa menos UE28;Extranjero;2009S1;7455
País de Europa menos UE28;Extranjero;2008S2;9716
País de Europa menos UE28;Extranjero;2008S1;11397
Noruega;Total;2022S1;578
Noruega;Total;2021S2;890
Noruega;Total;2021S1;556
Noruega;Total;2020S2;499
Noruega;Total;2020S1;395
Noruega;Total;2019S2;767
Noruega;Total;2019S1;571
Noruega;Total;2018S2;619
Noruega;Total;2018S1;685
Noruega;Total;2017S2;613
Noruega;Total;2017S1;575
Noruega;Total;2016S2;585
Noruega;Total;2016S1;471
Noruega;Total;2015S2;559
Noruega;Total;2015S1;467
Noruega;Total;2014S2;632
Noruega;Total;2014S1;597
Noruega;Total;2013S2;672
Noruega;Total;2013S1;546
Noruega;Total;2012S2;732
Noruega;Total;2012S1;583
Noruega;Total;2011S2;758
Noruega;Total;2011S1;628
Noruega;Total;2010S2;731
Noruega;Total;2010S1;600
Noruega;Total;2009S2;646
Noruega;Total;2009S1;518
Noruega;Total;2008S2;550
Noruega;Total;2008S1;534
Noruega;España;2022S1;5
Noruega;España;2021S2;3
Noruega;España;2021S1;4
Noruega;España;2020S2;0
Noruega;España;2020S1;0
Noruega;España;2019S2;4
Noruega;España;2019S1;2
Noruega;España;2018S2;6
Noruega;España;2018S1;4
Noruega;España;2017S2;5
Noruega;España;2017S1;8
Noruega;España;2016S2;4
Noruega;España;2016S1;4
Noruega;España;2015S2;3
Noruega;España;2015S1;3
Noruega;España;2014S2;4
Noruega;España;2014S1;4
Noruega;España;2013S2;3
Noruega;España;2013S1;5
Noruega;España;2012S2;4
Noruega;España;2012S1;1
Noruega;España;2011S2;5
Noruega;España;2011S1;2
Noruega;España;2010S2;2
Noruega;España;2010S1;4
Noruega;España;2009S2;3
Noruega;España;2009S1;1
Noruega;España;2008S2;2
Noruega;España;2008S1;3
Noruega;Extranjero;2022S1;573
Noruega;Extranjero;2021S2;887
Noruega;Extranjero;2021S1;552
Noruega;Extranjero;2020S2;499
Noruega;Extranjero;2020S1;395
Noruega;Extranjero;2019S2;763
Noruega;Extranjero;2019S1;569
Noruega;Extranjero;2018S2;613
Noruega;Extranjero;2018S1;681
Noruega;Extranjero;2017S2;608
Noruega;Extranjero;2017S1;567
Noruega;Extranjero;2016S2;581
Noruega;Extranjero;2016S1;468
Noruega;Extranjero;2015S2;556
Noruega;Extranjero;2015S1;465
Noruega;Extranjero;2014S2;629
Noruega;Extranjero;2014S1;593
Noruega;Extranjero;2013S2;669
Noruega;Extranjero;2013S1;541
Noruega;Extranjero;2012S2;728
Noruega;Extranjero;2012S1;582
Noruega;Extranjero;2011S2;753
Noruega;Extranjero;2011S1;626
Noruega;Extranjero;2010S2;729
Noruega;Extranjero;2010S1;596
Noruega;Extranjero;2009S2;643
Noruega;Extranjero;2009S1;517
Noruega;Extranjero;2008S2;548
Noruega;Extranjero;2008S1;531
Suiza;Total;2022S1;856
Suiza;Total;2021S2;984
Suiza;Total;2021S1;723
Suiza;Total;2020S2;750
Suiza;Total;2020S1;486
Suiza;Total;2019S2;782
Suiza;Total;2019S1;630
Suiza;Total;2018S2;718
Suiza;Total;2018S1;691
Suiza;Total;2017S2;806
Suiza;Total;2017S1;688
Suiza;Total;2016S2;624
Suiza;Total;2016S1;496
Suiza;Total;2015S2;603
Suiza;Total;2015S1;428
Suiza;Total;2014S2;464
Suiza;Total;2014S1;446
Suiza;Total;2013S2;469
Suiza;Total;2013S1;400
Suiza;Total;2012S2;495
Suiza;Total;2012S1;442
Suiza;Total;2011S2;441
Suiza;Total;2011S1;435
Suiza;Total;2010S2;444
Suiza;Total;2010S1;446
Suiza;Total;2009S2;437
Suiza;Total;2009S1;434
Suiza;Total;2008S2;466
Suiza;Total;2008S1;440
Suiza;España;2022S1;5
Suiza;España;2021S2;11
Suiza;España;2021S1;9
Suiza;España;2020S2;6
Suiza;España;2020S1;5
Suiza;España;2019S2;4
Suiza;España;2019S1;3
Suiza;España;2018S2;13
Suiza;España;2018S1;7
Suiza;España;2017S2;8
Suiza;España;2017S1;10
Suiza;España;2016S2;11
Suiza;España;2016S1;16
Suiza;España;2015S2;9
Suiza;España;2015S1;7
Suiza;España;2014S2;7
Suiza;España;2014S1;8
Suiza;España;2013S2;9
Suiza;España;2013S1;9
Suiza;España;2012S2;5
Suiza;España;2012S1;6
Suiza;España;2011S2;11
Suiza;España;2011S1;7
Suiza;España;2010S2;9
Suiza;España;2010S1;5
Suiza;España;2009S2;4
Suiza;España;2009S1;5
Suiza;España;2008S2;4
Suiza;España;2008S1;5
Suiza;Extranjero;2022S1;851
Suiza;Extranjero;2021S2;973
Suiza;Extranjero;2021S1;714
Suiza;Extranjero;2020S2;744
Suiza;Extranjero;2020S1;481
Suiza;Extranjero;2019S2;778
Suiza;Extranjero;2019S1;627
Suiza;Extranjero;2018S2;705
Suiza;Extranjero;2018S1;684
Suiza;Extranjero;2017S2;798
Suiza;Extranjero;2017S1;678
Suiza;Extranjero;2016S2;613
Suiza;Extranjero;2016S1;480
Suiza;Extranjero;2015S2;594
Suiza;Extranjero;2015S1;421
Suiza;Extranjero;2014S2;457
Suiza;Extranjero;2014S1;438
Suiza;Extranjero;2013S2;460
Suiza;Extranjero;2013S1;391
Suiza;Extranjero;2012S2;490
Suiza;Extranjero;2012S1;436
Suiza;Extranjero;2011S2;430
Suiza;Extranjero;2011S1;428
Suiza;Extranjero;2010S2;435
Suiza;Extranjero;2010S1;441
Suiza;Extranjero;2009S2;433
Suiza;Extranjero;2009S1;429
Suiza;Extranjero;2008S2;462
Suiza;Extranjero;2008S1;435
Ucrania;Total;2022S1;52418
Ucrania;Total;2021S2;3460
Ucrania;Total;2021S1;1784
Ucrania;Total;2020S2;2208
Ucrania;Total;2020S1;2023
Ucrania;Total;2019S2;4436
Ucrania;Total;2019S1;3627
Ucrania;Total;2018S2;4802
Ucrania;Total;2018S1;3354
Ucrania;Total;2017S2;4537
Ucrania;Total;2017S1;3251
Ucrania;Total;2016S2;3892
Ucrania;Total;2016S1;2983
Ucrania;Total;2015S2;4535
Ucrania;Total;2015S1;4315
Ucrania;Total;2014S2;3858
Ucrania;Total;2014S1;1822
Ucrania;Total;2013S2;1947
Ucrania;Total;2013S1;1401
Ucrania;Total;2012S2;1913
Ucrania;Total;2012S1;1765
Ucrania;Total;2011S2;2833
Ucrania;Total;2011S1;2260
Ucrania;Total;2010S2;2663
Ucrania;Total;2010S1;2263
Ucrania;Total;2009S2;2532
Ucrania;Total;2009S1;2219
Ucrania;Total;2008S2;2933
Ucrania;Total;2008S1;3930
Ucrania;España;2022S1;124
Ucrania;España;2021S2;15
Ucrania;España;2021S1;4
Ucrania;España;2020S2;6
Ucrania;España;2020S1;3
Ucrania;España;2019S2;16
Ucrania;España;2019S1;10
Ucrania;España;2018S2;20
Ucrania;España;2018S1;16
Ucrania;España;2017S2;23
Ucrania;España;2017S1;31
Ucrania;España;2016S2;33
Ucrania;España;2016S1;24
Ucrania;España;2015S2;30
Ucrania;España;2015S1;32
Ucrania;España;2014S2;37
Ucrania;España;2014S1;29
Ucrania;España;2013S2;20
Ucrania;España;2013S1;24
Ucrania;España;2012S2;27
Ucrania;España;2012S1;31
Ucrania;España;2011S2;17
Ucrania;España;2011S1;26
Ucrania;España;2010S2;30
Ucrania;España;2010S1;42
Ucrania;España;2009S2;24
Ucrania;España;2009S1;58
Ucrania;España;2008S2;19
Ucrania;España;2008S1;49
Ucrania;Extranjero;2022S1;52294
Ucrania;Extranjero;2021S2;3445
Ucrania;Extranjero;2021S1;1780
Ucrania;Extranjero;2020S2;2202
Ucrania;Extranjero;2020S1;2020
Ucrania;Extranjero;2019S2;4420
Ucrania;Extranjero;2019S1;3617
Ucrania;Extranjero;2018S2;4782
Ucrania;Extranjero;2018S1;3338
Ucrania;Extranjero;2017S2;4514
Ucrania;Extranjero;2017S1;3220
Ucrania;Extranjero;2016S2;3859
Ucrania;Extranjero;2016S1;2959
Ucrania;Extranjero;2015S2;4505
Ucrania;Extranjero;2015S1;4283
Ucrania;Extranjero;2014S2;3821
Ucrania;Extranjero;2014S1;1793
Ucrania;Extranjero;2013S2;1927
Ucrania;Extranjero;2013S1;1377
Ucrania;Extranjero;2012S2;1885
Ucrania;Extranjero;2012S1;1733
Ucrania;Extranjero;2011S2;2816
Ucrania;Extranjero;2011S1;2233
Ucrania;Extranjero;2010S2;2632
Ucrania;Extranjero;2010S1;2220
Ucrania;Extranjero;2009S2;2507
Ucrania;Extranjero;2009S1;2161
Ucrania;Extranjero;2008S2;2914
Ucrania;Extranjero;2008S1;3881
Moldavia;Total;2022S1;670
Moldavia;Total;2021S2;650
Moldavia;Total;2021S1;324
Moldavia;Total;2020S2;456
Moldavia;Total;2020S1;319
Moldavia;Total;2019S2;665
Moldavia;Total;2019S1;574
Moldavia;Total;2018S2;736
Moldavia;Total;2018S1;499
Moldavia;Total;2017S2;594
Moldavia;Total;2017S1;432
Moldavia;Total;2016S2;513
Moldavia;Total;2016S1;421
Moldavia;Total;2015S2;487
Moldavia;Total;2015S1;401
Moldavia;Total;2014S2;437
Moldavia;Total;2014S1;261
Moldavia;Total;2013S2;259
Moldavia;Total;2013S1;228
Moldavia;Total;2012S2;268
Moldavia;Total;2012S1;306
Moldavia;Total;2011S2;416
Moldavia;Total;2011S1;386
Moldavia;Total;2010S2;418
Moldavia;Total;2010S1;461
Moldavia;Total;2009S2;574
Moldavia;Total;2009S1;708
Moldavia;Total;2008S2;977
Moldavia;Total;2008S1;1322
Moldavia;España;2022S1;1
Moldavia;España;2021S2;1
Moldavia;España;2021S1;1
Moldavia;España;2020S2;2
Moldavia;España;2020S1;0
Moldavia;España;2019S2;5
Moldavia;España;2019S1;3
Moldavia;España;2018S2;2
Moldavia;España;2018S1;4
Moldavia;España;2017S2;7
Moldavia;España;2017S1;2
Moldavia;España;2016S2;10
Moldavia;España;2016S1;11
Moldavia;España;2015S2;14
Moldavia;España;2015S1;7
Moldavia;España;2014S2;13
Moldavia;España;2014S1;9
Moldavia;España;2013S2;7
Moldavia;España;2013S1;11
Moldavia;España;2012S2;9
Moldavia;España;2012S1;6
Moldavia;España;2011S2;5
Moldavia;España;2011S1;6
Moldavia;España;2010S2;4
Moldavia;España;2010S1;4
Moldavia;España;2009S2;4
Moldavia;España;2009S1;4
Moldavia;España;2008S2;4
Moldavia;España;2008S1;5
Moldavia;Extranjero;2022S1;669
Moldavia;Extranjero;2021S2;649
Moldavia;Extranjero;2021S1;323
Moldavia;Extranjero;2020S2;454
Moldavia;Extranjero;2020S1;319
Moldavia;Extranjero;2019S2;660
Moldavia;Extranjero;2019S1;571
Moldavia;Extranjero;2018S2;734
Moldavia;Extranjero;2018S1;495
Moldavia;Extranjero;2017S2;587
Moldavia;Extranjero;2017S1;430
Moldavia;Extranjero;2016S2;503
Moldavia;Extranjero;2016S1;409
Moldavia;Extranjero;2015S2;473
Moldavia;Extranjero;2015S1;394
