Nacionalidad;Pais_de_nacimiento;Periodo;Total
País de la UE27_2020 sin España;Total;2018S1;""
País de la UE27_2020 sin España;Total;2017S2;""
País de la UE27_2020 sin España;Total;2017S1;""
País de la UE27_2020 sin España;Total;2016S2;""
País de la UE27_2020 sin España;Total;2016S1;""
País de la UE27_2020 sin España;Total;2015S2;""
País de la UE27_2020 sin España;Total;2015S1;""
País de la UE27_2020 sin España;Total;2014S2;""
País de la UE27_2020 sin España;Total;2014S1;""
País de la UE27_2020 sin España;Total;2013S2;""
País de la UE27_2020 sin España;Total;2013S1;""
País de la UE27_2020 sin España;Total;2012S2;""
País de la UE27_2020 sin España;Total;2012S1;""
País de la UE27_2020 sin España;Total;2011S2;""
País de la UE27_2020 sin España;Total;2011S1;""
País de la UE27_2020 sin España;Total;2010S2;""
País de la UE27_2020 sin España;Total;2010S1;""
País de la UE27_2020 sin España;Total;2009S2;""
País de la UE27_2020 sin España;Total;2009S1;""
País de la UE27_2020 sin España;Total;2008S2;""
País de la UE27_2020 sin España;Total;2008S1;""
País de la UE27_2020 sin España;España;2022S1;486
País de la UE27_2020 sin España;España;2021S2;561
País de la UE27_2020 sin España;España;2021S1;392
País de la UE27_2020 sin España;España;2020S2;444
País de la UE27_2020 sin España;España;2020S1;329
País de la UE27_2020 sin España;España;2019S2;""
País de la UE27_2020 sin España;España;2019S1;""
País de la UE27_2020 sin España;España;2018S2;""
País de la UE27_2020 sin España;España;2018S1;""
País de la UE27_2020 sin España;España;2017S2;""
País de la UE27_2020 sin España;España;2017S1;""
País de la UE27_2020 sin España;España;2016S2;""
País de la UE27_2020 sin España;España;2016S1;""
País de la UE27_2020 sin España;España;2015S2;""
País de la UE27_2020 sin España;España;2015S1;""
País de la UE27_2020 sin España;España;2014S2;""
País de la UE27_2020 sin España;España;2014S1;""
País de la UE27_2020 sin España;España;2013S2;""
País de la UE27_2020 sin España;España;2013S1;""
País de la UE27_2020 sin España;España;2012S2;""
País de la UE27_2020 sin España;España;2012S1;""
País de la UE27_2020 sin España;España;2011S2;""
País de la UE27_2020 sin España;España;2011S1;""
País de la UE27_2020 sin España;España;2010S2;""
País de la UE27_2020 sin España;España;2010S1;""
País de la UE27_2020 sin España;España;2009S2;""
País de la UE27_2020 sin España;España;2009S1;""
País de la UE27_2020 sin España;España;2008S2;""
País de la UE27_2020 sin España;España;2008S1;""
País de la UE27_2020 sin España;Extranjero;2022S1;60513
País de la UE27_2020 sin España;Extranjero;2021S2;61425
País de la UE27_2020 sin España;Extranjero;2021S1;47793
País de la UE27_2020 sin España;Extranjero;2020S2;45792
País de la UE27_2020 sin España;Extranjero;2020S1;37048
País de la UE27_2020 sin España;Extranjero;2019S2;""
País de la UE27_2020 sin España;Extranjero;2019S1;""
País de la UE27_2020 sin España;Extranjero;2018S2;""
País de la UE27_2020 sin España;Extranjero;2018S1;""
País de la UE27_2020 sin España;Extranjero;2017S2;""
